,path,emotion
27,data/training\Actor_03\03-02-01-01-02-02-03_neutral.wav,neutral
28,data/training\Actor_03\03_01_01_01_dogs-sitting_neutral.wav,neutral
29,data/training\Actor_03\03_01_01_01_kids-talking_neutral.wav,neutral
30,data/training\Actor_03\03_01_01_02_dogs-sitting_neutral.wav,neutral
31,data/training\Actor_03\03_01_01_02_kids-talking_neutral.wav,neutral
32,data/training\Actor_03\03_02_01_01_dogs-sitting_neutral.wav,neutral
33,data/training\Actor_03\03_02_01_01_kids-talking_neutral.wav,neutral
34,data/training\Actor_03\03_02_01_02_dogs-sitting_neutral.wav,neutral
35,data/training\Actor_03\03_02_01_02_kids-talking_neutral.wav,neutral
36,data/training\Actor_04\03-02-01-01-01-01-04_neutral.wav,neutral
37,data/training\Actor_04\03-02-01-01-01-02-04_neutral.wav,neutral
38,data/training\Actor_04\03-02-01-01-02-01-04_neutral.wav,neutral
39,data/training\Actor_04\03-02-01-01-02-02-04_neutral.wav,neutral
40,data/training\Actor_04\04_01_01_01_dogs-sitting_neutral.wav,neutral
41,data/training\Actor_04\04_01_01_01_kids-talking_neutral.wav,neutral
42,data/training\Actor_04\04_01_01_02_dogs-sitting_neutral.wav,neutral
43,data/training\Actor_04\04_01_01_02_kids-talking_neutral.wav,neutral
44,data/training\Actor_04\04_02_01_01_dogs-sitting_neutral.wav,neutral
45,data/training\Actor_04\04_02_01_01_kids-talking_neutral.wav,neutral
46,data/training\Actor_04\04_02_01_02_dogs-sitting_neutral.wav,neutral
47,data/training\Actor_04\04_02_01_02_kids-talking_neutral.wav,neutral
48,data/training\Actor_05\03-02-01-01-01-01-05_neutral.wav,neutral
49,data/training\Actor_05\03-02-01-01-01-02-05_neutral.wav,neutral
50,data/training\Actor_05\03-02-01-01-02-01-05_neutral.wav,neutral
51,data/training\Actor_05\03-02-01-01-02-02-05_neutral.wav,neutral
52,data/training\Actor_05\05_01_01_01_dogs-sitting_neutral.wav,neutral
53,data/training\Actor_05\05_01_01_01_kids-talking_neutral.wav,neutral
54,data/training\Actor_05\05_01_01_02_dogs-sitting_neutral.wav,neutral
55,data/training\Actor_05\05_01_01_02_kids-talking_neutral.wav,neutral
56,data/training\Actor_05\05_02_01_01_dogs-sitting_neutral.wav,neutral
57,data/training\Actor_05\05_02_01_01_kids-talking_neutral.wav,neutral
58,data/training\Actor_05\05_02_01_02_dogs-sitting_neutral.wav,neutral
59,data/training\Actor_05\05_02_01_02_kids-talking_neutral.wav,neutral
60,data/training\Actor_06\03-02-01-01-01-01-06_neutral.wav,neutral
61,data/training\Actor_06\03-02-01-01-01-02-06_neutral.wav,neutral
62,data/training\Actor_06\03-02-01-01-02-01-06_neutral.wav,neutral
63,data/training\Actor_06\03-02-01-01-02-02-06_neutral.wav,neutral
64,data/training\Actor_06\06_01_01_01_dogs-sitting_neutral.wav,neutral
65,data/training\Actor_06\06_01_01_01_kids-talking_neutral.wav,neutral
66,data/training\Actor_06\06_01_01_02_dogs-sitting_neutral.wav,neutral
67,data/training\Actor_06\06_01_01_02_kids-talking_neutral.wav,neutral
68,data/training\Actor_06\06_02_01_01_dogs-sitting_neutral.wav,neutral
69,data/training\Actor_06\06_02_01_01_kids-talking_neutral.wav,neutral
70,data/training\Actor_06\06_02_01_02_dogs-sitting_neutral.wav,neutral
71,data/training\Actor_06\06_02_01_02_kids-talking_neutral.wav,neutral
72,data/training\Actor_07\07_01_01_01_dogs-sitting_neutral.wav,neutral
73,data/training\Actor_07\07_01_01_01_kids-talking_neutral.wav,neutral
74,data/training\Actor_07\07_01_01_02_dogs-sitting_neutral.wav,neutral
75,data/training\Actor_07\07_01_01_02_kids-talking_neutral.wav,neutral
76,data/training\Actor_07\07_02_01_01_dogs-sitting_neutral.wav,neutral
77,data/training\Actor_07\07_02_01_01_kids-talking_neutral.wav,neutral
78,data/training\Actor_07\07_02_01_02_dogs-sitting_neutral.wav,neutral
79,data/training\Actor_07\07_02_01_02_kids-talking_neutral.wav,neutral
80,data/training\Actor_08\08_01_01_01_dogs-sitting_neutral.wav,neutral
81,data/training\Actor_08\08_01_01_01_kids-talking_neutral.wav,neutral
82,data/training\Actor_08\08_01_01_02_dogs-sitting_neutral.wav,neutral
83,data/training\Actor_08\08_01_01_02_kids-talking_neutral.wav,neutral
84,data/training\Actor_08\08_02_01_01_dogs-sitting_neutral.wav,neutral
85,data/training\Actor_08\08_02_01_01_kids-talking_neutral.wav,neutral
86,data/training\Actor_08\08_02_01_02_dogs-sitting_neutral.wav,neutral
87,data/training\Actor_08\08_02_01_02_kids-talking_neutral.wav,neutral
88,data/training\Actor_09\09_01_01_01_dogs-sitting_neutral.wav,neutral
89,data/training\Actor_09\09_01_01_01_kids-talking_neutral.wav,neutral
90,data/training\Actor_09\09_01_01_02_dogs-sitting_neutral.wav,neutral
91,data/training\Actor_09\09_01_01_02_kids-talking_neutral.wav,neutral
92,data/training\Actor_09\09_02_01_01_dogs-sitting_neutral.wav,neutral
93,data/training\Actor_09\09_02_01_01_kids-talking_neutral.wav,neutral
94,data/training\Actor_09\09_02_01_02_dogs-sitting_neutral.wav,neutral
95,data/training\Actor_09\09_02_01_02_kids-talking_neutral.wav,neutral
96,data/training\Actor_10\10_01_01_01_dogs-sitting_neutral.wav,neutral
97,data/training\Actor_10\10_01_01_01_kids-talking_neutral.wav,neutral
98,data/training\Actor_10\10_01_01_02_dogs-sitting_neutral.wav,neutral
99,data/training\Actor_10\10_01_01_02_kids-talking_neutral.wav,neutral
100,data/training\Actor_10\10_02_01_01_dogs-sitting_neutral.wav,neutral
101,data/training\Actor_10\10_02_01_01_kids-talking_neutral.wav,neutral
102,data/training\Actor_10\10_02_01_02_dogs-sitting_neutral.wav,neutral
103,data/training\Actor_10\10_02_01_02_kids-talking_neutral.wav,neutral
104,data/training\Actor_11\03-02-01-01-01-01-11_neutral.wav,neutral
105,data/training\Actor_11\03-02-01-01-01-02-11_neutral.wav,neutral
106,data/training\Actor_11\03-02-01-01-02-01-11_neutral.wav,neutral
107,data/training\Actor_11\03-02-01-01-02-02-11_neutral.wav,neutral
108,data/training\Actor_11\11_01_01_01_dogs-sitting_neutral.wav,neutral
109,data/training\Actor_11\11_01_01_01_kids-talking_neutral.wav,neutral
110,data/training\Actor_11\11_01_01_02_dogs-sitting_neutral.wav,neutral
111,data/training\Actor_11\11_01_01_02_kids-talking_neutral.wav,neutral
112,data/training\Actor_11\11_02_01_01_dogs-sitting_neutral.wav,neutral
113,data/training\Actor_11\11_02_01_01_kids-talking_neutral.wav,neutral
114,data/training\Actor_11\11_02_01_02_dogs-sitting_neutral.wav,neutral
115,data/training\Actor_11\11_02_01_02_kids-talking_neutral.wav,neutral
116,data/training\Actor_12\03-02-01-01-01-01-12_neutral.wav,neutral
117,data/training\Actor_12\03-02-01-01-01-02-12_neutral.wav,neutral
118,data/training\Actor_12\03-02-01-01-02-01-12_neutral.wav,neutral
119,data/training\Actor_12\03-02-01-01-02-02-12_neutral.wav,neutral
120,data/training\Actor_12\12_01_01_01_dogs-sitting_neutral.wav,neutral
121,data/training\Actor_12\12_01_01_01_kids-talking_neutral.wav,neutral
122,data/training\Actor_12\12_01_01_02_dogs-sitting_neutral.wav,neutral
123,data/training\Actor_12\12_01_01_02_kids-talking_neutral.wav,neutral
124,data/training\Actor_12\12_02_01_01_dogs-sitting_neutral.wav,neutral
125,data/training\Actor_12\12_02_01_01_kids-talking_neutral.wav,neutral
126,data/training\Actor_12\12_02_01_02_dogs-sitting_neutral.wav,neutral
127,data/training\Actor_12\12_02_01_02_kids-talking_neutral.wav,neutral
128,data/training\Actor_13\03-02-01-01-01-01-13_neutral.wav,neutral
129,data/training\Actor_13\03-02-01-01-01-02-13_neutral.wav,neutral
130,data/training\Actor_13\03-02-01-01-02-01-13_neutral.wav,neutral
131,data/training\Actor_13\03-02-01-01-02-02-13_neutral.wav,neutral
132,data/training\Actor_13\13_01_01_01_dogs-sitting_neutral.wav,neutral
133,data/training\Actor_13\13_01_01_01_kids-talking_neutral.wav,neutral
134,data/training\Actor_13\13_01_01_02_dogs-sitting_neutral.wav,neutral
135,data/training\Actor_13\13_01_01_02_kids-talking_neutral.wav,neutral
136,data/training\Actor_13\13_02_01_01_dogs-sitting_neutral.wav,neutral
137,data/training\Actor_13\13_02_01_01_kids-talking_neutral.wav,neutral
138,data/training\Actor_13\13_02_01_02_dogs-sitting_neutral.wav,neutral
139,data/training\Actor_13\13_02_01_02_kids-talking_neutral.wav,neutral
140,data/training\Actor_14\03-02-01-01-01-01-14_neutral.wav,neutral
141,data/training\Actor_14\03-02-01-01-01-02-14_neutral.wav,neutral
142,data/training\Actor_14\03-02-01-01-02-01-14_neutral.wav,neutral
143,data/training\Actor_14\03-02-01-01-02-02-14_neutral.wav,neutral
144,data/training\Actor_14\14_02_01_01_dogs-sitting_neutral.wav,neutral
145,data/training\Actor_14\14_02_01_01_kids-talking_neutral.wav,neutral
146,data/training\Actor_14\14_02_01_02_dogs-sitting_neutral.wav,neutral
147,data/training\Actor_14\14_02_01_02_kids-talking_neutral.wav,neutral
148,data/training\Actor_15\03-02-01-01-01-01-15_neutral.wav,neutral
149,data/training\Actor_15\03-02-01-01-01-02-15_neutral.wav,neutral
150,data/training\Actor_15\03-02-01-01-02-01-15_neutral.wav,neutral
151,data/training\Actor_15\03-02-01-01-02-02-15_neutral.wav,neutral
152,data/training\Actor_15\15_02_01_01_dogs-sitting_neutral.wav,neutral
153,data/training\Actor_15\15_02_01_01_kids-talking_neutral.wav,neutral
154,data/training\Actor_15\15_02_01_02_dogs-sitting_neutral.wav,neutral
155,data/training\Actor_15\15_02_01_02_kids-talking_neutral.wav,neutral
156,data/training\Actor_16\03-02-01-01-01-01-16_neutral.wav,neutral
157,data/training\Actor_16\03-02-01-01-01-02-16_neutral.wav,neutral
158,data/training\Actor_16\03-02-01-01-02-01-16_neutral.wav,neutral
159,data/training\Actor_16\03-02-01-01-02-02-16_neutral.wav,neutral
160,data/training\Actor_16\16_02_01_01_dogs-sitting_neutral.wav,neutral
161,data/training\Actor_16\16_02_01_01_kids-talking_neutral.wav,neutral
162,data/training\Actor_16\16_02_01_02_dogs-sitting_neutral.wav,neutral
163,data/training\Actor_16\16_02_01_02_kids-talking_neutral.wav,neutral
164,data/training\Actor_17\03-02-01-01-01-01-17_neutral.wav,neutral
165,data/training\Actor_17\03-02-01-01-01-02-17_neutral.wav,neutral
166,data/training\Actor_17\03-02-01-01-02-01-17_neutral.wav,neutral
167,data/training\Actor_17\03-02-01-01-02-02-17_neutral.wav,neutral
168,data/training\Actor_17\17_02_01_01_dogs-sitting_neutral.wav,neutral
169,data/training\Actor_17\17_02_01_01_kids-talking_neutral.wav,neutral
170,data/training\Actor_17\17_02_01_02_dogs-sitting_neutral.wav,neutral
171,data/training\Actor_17\17_02_01_02_kids-talking_neutral.wav,neutral
172,data/training\Actor_18\18_01_01_01_dogs-sitting_neutral.wav,neutral
173,data/training\Actor_18\18_01_01_01_kids-talking_neutral.wav,neutral
174,data/training\Actor_18\18_01_01_02_dogs-sitting_neutral.wav,neutral
175,data/training\Actor_18\18_01_01_02_kids-talking_neutral.wav,neutral
176,data/training\Actor_19\03-02-01-01-01-01-19_neutral.wav,neutral
177,data/training\Actor_19\03-02-01-01-01-02-19_neutral.wav,neutral
178,data/training\Actor_19\03-02-01-01-02-01-19_neutral.wav,neutral
179,data/training\Actor_19\03-02-01-01-02-02-19_neutral.wav,neutral
180,data/training\Actor_19\19_01_01_01_dogs-sitting_neutral.wav,neutral
181,data/training\Actor_19\19_01_01_01_kids-talking_neutral.wav,neutral
182,data/training\Actor_19\19_01_01_02_dogs-sitting_neutral.wav,neutral
183,data/training\Actor_19\19_01_01_02_kids-talking_neutral.wav,neutral
184,data/training\Actor_19\19_02_01_01_dogs-sitting_neutral.wav,neutral
185,data/training\Actor_19\19_02_01_01_kids-talking_neutral.wav,neutral
186,data/training\Actor_19\19_02_01_02_dogs-sitting_neutral.wav,neutral
187,data/training\Actor_19\19_02_01_02_kids-talking_neutral.wav,neutral
188,data/training\Actor_20\03-02-01-01-01-01-20_neutral.wav,neutral
189,data/training\Actor_20\03-02-01-01-01-02-20_neutral.wav,neutral
190,data/training\Actor_20\03-02-01-01-02-01-20_neutral.wav,neutral
191,data/training\Actor_20\03-02-01-01-02-02-20_neutral.wav,neutral
192,data/training\Actor_20\20_01_01_01_dogs-sitting_neutral.wav,neutral
193,data/training\Actor_20\20_01_01_01_kids-talking_neutral.wav,neutral
194,data/training\Actor_20\20_01_01_02_dogs-sitting_neutral.wav,neutral
195,data/training\Actor_20\20_01_01_02_kids-talking_neutral.wav,neutral
196,data/training\Actor_21\03-02-01-01-01-01-21_neutral.wav,neutral
197,data/training\Actor_21\03-02-01-01-01-02-21_neutral.wav,neutral
198,data/training\Actor_21\03-02-01-01-02-01-21_neutral.wav,neutral
199,data/training\Actor_21\03-02-01-01-02-02-21_neutral.wav,neutral
200,data/training\Actor_21\21_01_01_01_dogs-sitting_neutral.wav,neutral
201,data/training\Actor_21\21_01_01_01_kids-talking_neutral.wav,neutral
202,data/training\Actor_21\21_01_01_02_dogs-sitting_neutral.wav,neutral
203,data/training\Actor_21\21_01_01_02_kids-talking_neutral.wav,neutral
204,data/training\Actor_22\03-02-01-01-01-01-22_neutral.wav,neutral
205,data/training\Actor_22\03-02-01-01-01-02-22_neutral.wav,neutral
206,data/training\Actor_22\03-02-01-01-02-01-22_neutral.wav,neutral
207,data/training\Actor_22\03-02-01-01-02-02-22_neutral.wav,neutral
208,data/training\Actor_22\22_01_01_01_dogs-sitting_neutral.wav,neutral
209,data/training\Actor_22\22_01_01_01_kids-talking_neutral.wav,neutral
210,data/training\Actor_22\22_01_01_02_dogs-sitting_neutral.wav,neutral
211,data/training\Actor_22\22_01_01_02_kids-talking_neutral.wav,neutral
212,data/training\Actor_23\03-02-01-01-01-01-23_neutral.wav,neutral
213,data/training\Actor_23\03-02-01-01-01-02-23_neutral.wav,neutral
214,data/training\Actor_23\03-02-01-01-02-01-23_neutral.wav,neutral
215,data/training\Actor_23\03-02-01-01-02-02-23_neutral.wav,neutral
216,data/training\Actor_23\23_01_01_01_dogs-sitting_neutral.wav,neutral
217,data/training\Actor_23\23_01_01_01_kids-talking_neutral.wav,neutral
218,data/training\Actor_23\23_01_01_02_dogs-sitting_neutral.wav,neutral
219,data/training\Actor_23\23_01_01_02_kids-talking_neutral.wav,neutral
220,data/training\Actor_24\03-02-01-01-01-01-24_neutral.wav,neutral
221,data/training\Actor_24\03-02-01-01-01-02-24_neutral.wav,neutral
222,data/training\Actor_24\03-02-01-01-02-01-24_neutral.wav,neutral
223,data/training\Actor_24\03-02-01-01-02-02-24_neutral.wav,neutral
224,data/training\Actor_24\24_01_01_01_dogs-sitting_neutral.wav,neutral
225,data/training\Actor_24\24_01_01_01_kids-talking_neutral.wav,neutral
226,data/training\Actor_24\24_01_01_02_dogs-sitting_neutral.wav,neutral
227,data/training\Actor_24\24_01_01_02_kids-talking_neutral.wav,neutral
228,data/training\Actor_24\24_02_01_01_dogs-sitting_neutral.wav,neutral
229,data/training\Actor_24\24_02_01_01_kids-talking_neutral.wav,neutral
230,data/training\Actor_24\24_02_01_02_dogs-sitting_neutral.wav,neutral
231,data/training\Actor_24\24_02_01_02_kids-talking_neutral.wav,neutral
232,data/training\Actor_25\25_01_01_01_fat_neutral.wav,neutral
233,data/training\Actor_25\25_01_01_01_gap_neutral.wav,neutral
234,data/training\Actor_25\25_01_01_01_gas_neutral.wav,neutral
235,data/training\Actor_25\25_01_01_01_knock_neutral.wav,neutral
236,data/training\Actor_25\25_01_01_01_learn_neutral.wav,neutral
237,data/training\Actor_25\25_01_01_01_lot_neutral.wav,neutral
238,data/training\Actor_25\25_01_01_01_met_neutral.wav,neutral
239,data/training\Actor_25\25_01_01_01_moon_neutral.wav,neutral
240,data/training\Actor_25\25_01_01_01_nag_neutral.wav,neutral
241,data/training\Actor_25\25_01_01_01_neat_neutral.wav,neutral
242,data/training\Actor_25\25_01_01_01_page_neutral.wav,neutral
243,data/training\Actor_25\25_01_01_01_perch_neutral.wav,neutral
244,data/training\Actor_25\25_01_01_01_pole_neutral.wav,neutral
245,data/training\Actor_25\25_01_01_01_road_neutral.wav,neutral
246,data/training\Actor_25\25_01_01_01_rot_neutral.wav,neutral
247,data/training\Actor_25\25_01_01_01_rough_neutral.wav,neutral
248,data/training\Actor_25\25_01_01_01_shirt_neutral.wav,neutral
249,data/training\Actor_25\25_01_01_01_shout_neutral.wav,neutral
250,data/training\Actor_25\25_01_01_01_soup_neutral.wav,neutral
251,data/training\Actor_25\25_01_01_01_sour_neutral.wav,neutral
252,data/training\Actor_25\25_01_01_01_tell_neutral.wav,neutral
253,data/training\Actor_25\25_01_01_01_tool_neutral.wav,neutral
254,data/training\Actor_25\25_01_01_01_turn_neutral.wav,neutral
255,data/training\Actor_25\25_01_01_01_vine_neutral.wav,neutral
256,data/training\Actor_25\25_01_01_01_wag_neutral.wav,neutral
257,data/training\Actor_25\25_01_01_01_yearn_neutral.wav,neutral
258,data/training\Actor_26\26_01_01_01_back_neutral.wav,neutral
259,data/training\Actor_26\26_01_01_01_bar_neutral.wav,neutral
260,data/training\Actor_26\26_01_01_01_base_neutral.wav,neutral
261,data/training\Actor_26\26_01_01_01_bath_neutral.wav,neutral
262,data/training\Actor_26\26_01_01_01_bean_neutral.wav,neutral
263,data/training\Actor_26\26_01_01_01_beg_neutral.wav,neutral
264,data/training\Actor_26\26_01_01_01_bite_neutral.wav,neutral
265,data/training\Actor_26\26_01_01_01_bone_neutral.wav,neutral
266,data/training\Actor_26\26_01_01_01_book_neutral.wav,neutral
267,data/training\Actor_26\26_01_01_01_bought_neutral.wav,neutral
268,data/training\Actor_26\26_01_01_01_burn_neutral.wav,neutral
269,data/training\Actor_26\26_01_01_01_cab_neutral.wav,neutral
270,data/training\Actor_26\26_01_01_01_came_neutral.wav,neutral
271,data/training\Actor_26\26_01_01_01_cause_neutral.wav,neutral
272,data/training\Actor_26\26_01_01_01_chain_neutral.wav,neutral
273,data/training\Actor_26\26_01_01_01_chair_neutral.wav,neutral
274,data/training\Actor_26\26_01_01_01_chalk_neutral.wav,neutral
275,data/training\Actor_26\26_01_01_01_chat_neutral.wav,neutral
276,data/training\Actor_26\26_01_01_01_choice_neutral.wav,neutral
277,data/training\Actor_26\26_01_01_01_death_neutral.wav,neutral
278,data/training\Actor_26\26_01_01_01_dime_neutral.wav,neutral
279,data/training\Actor_26\26_01_01_01_dip_neutral.wav,neutral
280,data/training\Actor_26\26_01_01_01_ditch_neutral.wav,neutral
281,data/training\Actor_26\26_01_01_01_dodge_neutral.wav,neutral
282,data/training\Actor_26\26_01_01_01_dog_neutral.wav,neutral
283,data/training\Actor_26\26_01_01_01_doll_neutral.wav,neutral
284,data/training\Actor_26\26_01_01_01_fail_neutral.wav,neutral
285,data/training\Actor_26\26_01_01_01_fall_neutral.wav,neutral
286,data/training\Actor_26\26_01_01_01_far_neutral.wav,neutral
287,data/training\Actor_26\26_01_01_01_fat_neutral.wav,neutral
288,data/training\Actor_26\26_01_01_01_fit_neutral.wav,neutral
289,data/training\Actor_26\26_01_01_01_five_neutral.wav,neutral
290,data/training\Actor_26\26_01_01_01_food_neutral.wav,neutral
291,data/training\Actor_26\26_01_01_01_gas_neutral.wav,neutral
292,data/training\Actor_26\26_01_01_01_germ_neutral.wav,neutral
293,data/training\Actor_26\26_01_01_01_gin_neutral.wav,neutral
294,data/training\Actor_26\26_01_01_01_goal_neutral.wav,neutral
295,data/training\Actor_26\26_01_01_01_good_neutral.wav,neutral
296,data/training\Actor_26\26_01_01_01_gun_neutral.wav,neutral
297,data/training\Actor_26\26_01_01_01_half_neutral.wav,neutral
298,data/training\Actor_26\26_01_01_01_hall_neutral.wav,neutral
299,data/training\Actor_26\26_01_01_01_hate_neutral.wav,neutral
300,data/training\Actor_26\26_01_01_01_haze_neutral.wav,neutral
301,data/training\Actor_26\26_01_01_01_hit_neutral.wav,neutral
302,data/training\Actor_26\26_01_01_01_hole_neutral.wav,neutral
303,data/training\Actor_26\26_01_01_01_home_neutral.wav,neutral
304,data/training\Actor_26\26_01_01_01_hush_neutral.wav,neutral
305,data/training\Actor_26\26_01_01_01_jail_neutral.wav,neutral
306,data/training\Actor_26\26_01_01_01_keep_neutral.wav,neutral
307,data/training\Actor_26\26_01_01_01_kick_neutral.wav,neutral
308,data/training\Actor_26\26_01_01_01_kill_neutral.wav,neutral
309,data/training\Actor_26\26_01_01_01_king_neutral.wav,neutral
310,data/training\Actor_26\26_01_01_01_knock_neutral.wav,neutral
311,data/training\Actor_26\26_01_01_01_late_neutral.wav,neutral
312,data/training\Actor_26\26_01_01_01_laud_neutral.wav,neutral
313,data/training\Actor_26\26_01_01_01_lean_neutral.wav,neutral
314,data/training\Actor_26\26_01_01_01_learn_neutral.wav,neutral
315,data/training\Actor_26\26_01_01_01_lease_neutral.wav,neutral
316,data/training\Actor_26\26_01_01_01_life_neutral.wav,neutral
317,data/training\Actor_26\26_01_01_01_live_neutral.wav,neutral
318,data/training\Actor_26\26_01_01_01_loaf_neutral.wav,neutral
319,data/training\Actor_26\26_01_01_01_long_neutral.wav,neutral
320,data/training\Actor_26\26_01_01_01_lore_neutral.wav,neutral
321,data/training\Actor_26\26_01_01_01_love_neutral.wav,neutral
322,data/training\Actor_26\26_01_01_01_luck_neutral.wav,neutral
323,data/training\Actor_26\26_01_01_01_match_neutral.wav,neutral
324,data/training\Actor_26\26_01_01_01_merge_neutral.wav,neutral
325,data/training\Actor_26\26_01_01_01_mess_neutral.wav,neutral
326,data/training\Actor_26\26_01_01_01_met_neutral.wav,neutral
327,data/training\Actor_26\26_01_01_01_mob_neutral.wav,neutral
328,data/training\Actor_26\26_01_01_01_mode_neutral.wav,neutral
329,data/training\Actor_26\26_01_01_01_moon_neutral.wav,neutral
330,data/training\Actor_26\26_01_01_01_mouse_neutral.wav,neutral
331,data/training\Actor_26\26_01_01_01_name_neutral.wav,neutral
332,data/training\Actor_26\26_01_01_01_neat_neutral.wav,neutral
333,data/training\Actor_26\26_01_01_01_nice_neutral.wav,neutral
334,data/training\Actor_26\26_01_01_01_note_neutral.wav,neutral
335,data/training\Actor_26\26_01_01_01_pad_neutral.wav,neutral
336,data/training\Actor_26\26_01_01_01_page_neutral.wav,neutral
337,data/training\Actor_26\26_01_01_01_pain_neutral.wav,neutral
338,data/training\Actor_26\26_01_01_01_pass_neutral.wav,neutral
339,data/training\Actor_26\26_01_01_01_pearl_neutral.wav,neutral
340,data/training\Actor_26\26_01_01_01_peg_neutral.wav,neutral
341,data/training\Actor_26\26_01_01_01_phone_neutral.wav,neutral
342,data/training\Actor_26\26_01_01_01_pick_neutral.wav,neutral
343,data/training\Actor_26\26_01_01_01_pike_neutral.wav,neutral
344,data/training\Actor_26\26_01_01_01_pole_neutral.wav,neutral
345,data/training\Actor_26\26_01_01_01_pool_neutral.wav,neutral
346,data/training\Actor_26\26_01_01_01_rain_neutral.wav,neutral
347,data/training\Actor_26\26_01_01_01_raise_neutral.wav,neutral
348,data/training\Actor_26\26_01_01_01_rat_neutral.wav,neutral
349,data/training\Actor_26\26_01_01_01_reach_neutral.wav,neutral
350,data/training\Actor_26\26_01_01_01_read_neutral.wav,neutral
351,data/training\Actor_26\26_01_01_01_red_neutral.wav,neutral
352,data/training\Actor_26\26_01_01_01_road_neutral.wav,neutral
353,data/training\Actor_26\26_01_01_01_room_neutral.wav,neutral
354,data/training\Actor_26\26_01_01_01_rose_neutral.wav,neutral
355,data/training\Actor_26\26_01_01_01_rough_neutral.wav,neutral
356,data/training\Actor_26\26_01_01_01_search_neutral.wav,neutral
357,data/training\Actor_26\26_01_01_01_seize_neutral.wav,neutral
358,data/training\Actor_26\26_01_01_01_sell_neutral.wav,neutral
359,data/training\Actor_26\26_01_01_01_shack_neutral.wav,neutral
360,data/training\Actor_26\26_01_01_01_sheep_neutral.wav,neutral
361,data/training\Actor_26\26_01_01_01_shirt_neutral.wav,neutral
362,data/training\Actor_26\26_01_01_01_shout_neutral.wav,neutral
363,data/training\Actor_26\26_01_01_01_soap_neutral.wav,neutral
364,data/training\Actor_26\26_01_01_01_soup_neutral.wav,neutral
365,data/training\Actor_26\26_01_01_01_sour_neutral.wav,neutral
366,data/training\Actor_26\26_01_01_01_south_neutral.wav,neutral
367,data/training\Actor_26\26_01_01_01_sub_neutral.wav,neutral
368,data/training\Actor_26\26_01_01_01_talk_neutral.wav,neutral
369,data/training\Actor_26\26_01_01_01_tape_neutral.wav,neutral
370,data/training\Actor_26\26_01_01_01_tell_neutral.wav,neutral
371,data/training\Actor_26\26_01_01_01_third_neutral.wav,neutral
372,data/training\Actor_26\26_01_01_01_thought_neutral.wav,neutral
373,data/training\Actor_26\26_01_01_01_tip_neutral.wav,neutral
374,data/training\Actor_26\26_01_01_01_tire_neutral.wav,neutral
375,data/training\Actor_26\26_01_01_01_tool_neutral.wav,neutral
376,data/training\Actor_26\26_01_01_01_turn_neutral.wav,neutral
377,data/training\Actor_26\26_01_01_01_voice_neutral.wav,neutral
378,data/training\Actor_26\26_01_01_01_void_neutral.wav,neutral
379,data/training\Actor_26\26_01_01_01_wag_neutral.wav,neutral
380,data/training\Actor_26\26_01_01_01_walk_neutral.wav,neutral
381,data/training\Actor_26\26_01_01_01_week_neutral.wav,neutral
382,data/training\Actor_26\26_01_01_01_wheat_neutral.wav,neutral
383,data/training\Actor_26\26_01_01_01_when_neutral.wav,neutral
384,data/training\Actor_26\26_01_01_01_which_neutral.wav,neutral
385,data/training\Actor_26\26_01_01_01_whip_neutral.wav,neutral
386,data/training\Actor_26\26_01_01_01_white_neutral.wav,neutral
